VeriAdlari,A,B,GammaMax,GammaMin,GoodnessVal
10_kap_2_pokus8.dat,738.275474756767,0.337619898194373,1840.23640499426,509.757043719189,0.922233165595727
11_kap_2_pokus9.dat,1572.45348879862,0.235456392717384,2671.42678720398,640.540110590097,0.982282364418124
1_kap_2_pokus1.dat ,558.806959052274,0.3816837069905,1770.48430756474,319.985219309245,0.997850130380918
2_kap_2_pokus10.dat,2044.65306238142,0.19234687671413,1671.14192333213,183.026071968051,0.994164993109634
3_kap_2_pokus12.dat,1017.3141741999,0.305026057122718,1768.03367431616,418.478668263422,0.993741845612244
4_kap_2_pokus13.dat,346.298549035246,0.451635035757682,1474.13037907885,385.003887784802,0.989387447060384
5_kap_2_pokus14.dat,891.07112812979,0.297942045763654,775.564369642194,241.656542529627,0.994838680024912
6_kap_2_pokus4.dat ,1631.55041766385,0.237364442273914,3024.83101533297,158.148356618474,0.984075755276139
7_kap_2_pokus5.dat ,2039.35701280168,0.190600562224975,2407.60135792258,191.650461375397,0.998109379458743
8_kap_2_pokus6.dat ,691.088881052469,0.338353625005474,1913.27883652842,294.687989237443,0.910484706209807
9_kap_2_pokus7.dat ,1098.02843279682,0.27355844980925,976.413872577088,109.492315404621,0.962422707241313
